,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
8529,2022-01-12,2,MLB7497774880,0,,0,,1,2022-01-12,1,2022-01-21,2022-01-12,,0,9,
8762,2022-01-23,3,MLB7498984360,0,,0,,0,,1,2022-02-15,2022-01-23,,,23,
2518,2022-01-02,1,MLB7499683970,0,,0,,0,,1,2022-01-03,2022-01-02,,,1,
7772,2022-01-24,4,MLB7501375990,0,,0,,0,,1,2022-01-26,2022-01-24,,,2,
1481,2022-01-18,3,MLB7502120130,1,2022-01-23,1,2022-01-18,1,2022-01-18,1,2022-01-19,2022-01-18,0,0,1,5
9958,2022-01-20,3,MLB7503217630,0,,0,,0,,0,,2022-01-20,,,,
411,2022-01-13,2,MLB7503218200,0,,0,,0,,0,,2022-01-13,,,,
4617,2022-01-13,2,MLB7503228130,0,,0,,0,,0,,2022-01-13,,,,
4439,2022-01-25,4,MLB7503661830,0,,0,,0,,0,,2022-01-25,,,,
5694,2022-01-27,4,MLB7505013190,0,,0,,0,,0,,2022-01-27,,,,
9487,2022-01-25,4,MLB7505533960,0,,0,,0,,0,,2022-01-25,,,,
8069,2022-01-02,1,MLB7506996640,0,,0,,0,,1,2022-01-13,2022-01-02,,,11,
6982,2022-01-03,1,MLB7508115940,0,,0,,0,,0,,2022-01-03,,,,
3416,2022-01-27,4,MLB7508482560,0,,0,,0,,0,,2022-01-27,,,,
6551,2022-01-23,3,MLB7509585390,0,,1,2022-01-23,1,2022-01-24,1,2022-01-24,2022-01-23,0,1,1,
9115,2022-01-19,3,MLB7510149470,1,2022-01-31,1,2022-01-19,1,2022-01-19,1,2022-01-24,2022-01-19,0,0,5,12
4147,2022-01-09,1,MLB751025830,0,,1,2022-02-01,1,2022-01-09,1,2022-01-12,2022-01-09,23,0,3,
1111,2022-01-27,4,MLB7510691220,0,,1,2022-01-28,0,,1,2022-01-28,2022-01-27,1,,1,
8985,2022-01-31,5,MLB7511984100,0,,1,2022-02-11,1,2022-01-31,1,2022-02-03,2022-01-31,11,0,3,
7491,2022-01-03,1,MLB7513406180,0,,0,,0,,0,,2022-01-03,,,,
9072,2022-01-05,1,MLB7514331400,0,,0,,1,2022-01-05,1,2022-01-08,2022-01-05,,0,3,
4959,2022-01-20,3,MLB7515268540,0,,1,2022-01-24,1,2022-01-20,1,2022-01-24,2022-01-20,4,0,4,
9254,2022-01-18,3,MLB7515721110,0,,0,,1,2022-02-03,1,2022-01-20,2022-01-18,,16,2,
836,2022-01-13,2,MLB7516323870,0,,0,,0,,0,,2022-01-13,,,,
9661,2022-01-31,5,MLB75163540,0,,1,2022-01-31,0,,1,2022-02-10,2022-01-31,0,,10,
6398,2022-01-27,4,MLB7516962970,0,,0,,1,2022-01-28,1,2022-02-03,2022-01-27,,1,7,
7050,2022-01-18,3,MLB7518799720,0,,1,2022-01-18,0,,1,2022-01-20,2022-01-18,0,,2,
5008,2022-01-23,3,MLB7519837900,0,,0,,0,,0,,2022-01-23,,,,
6814,2022-01-30,4,MLB7522148590,0,,0,,0,,0,,2022-01-30,,,,
5379,2022-01-29,4,MLB7522897650,0,,0,,0,,1,2022-01-30,2022-01-29,,,1,
11400,2022-01-07,1,MLB752451060,0,,0,,0,,0,,2022-01-07,,,,
9703,2022-01-03,1,MLB7525210240,0,,1,2022-01-05,1,2022-01-03,1,2022-01-05,2022-01-03,2,0,2,
4099,2022-01-21,3,MLB7527315760,0,,1,2022-01-21,1,2022-01-21,0,,2022-01-21,0,0,,
385,2022-01-26,4,MLB7529029020,0,,0,,1,2022-01-26,1,2022-01-27,2022-01-26,,0,1,
8288,2022-01-29,4,MLB7530027970,0,,0,,0,,0,,2022-01-29,,,,
4513,2022-01-01,1,MLB7530037970,0,,1,2022-01-01,0,,1,2022-01-18,2022-01-01,0,,17,
9969,2022-01-17,3,MLB7530878640,0,,1,2022-02-12,0,,1,2022-01-18,2022-01-17,26,,1,
6786,2022-01-21,3,MLB7531812980,0,,0,,0,,1,2022-01-22,2022-01-21,,,1,
4547,2022-01-04,1,MLB7533292720,0,,0,,0,,0,,2022-01-04,,,,
4302,2022-01-22,3,MLB7534014820,0,,1,2022-01-22,1,2022-01-22,1,2022-01-24,2022-01-22,0,0,2,
7435,2022-01-11,2,MLB7534460460,0,,1,2022-01-24,0,,1,2022-01-12,2022-01-11,13,,1,
6319,2022-01-04,1,MLB7535722760,0,,0,,0,,0,,2022-01-04,,,,
9500,2022-01-11,2,MLB7537614880,0,,0,,0,,0,,2022-01-11,,,,
6584,2022-01-08,1,MLB7539643350,0,,0,,0,,0,,2022-01-08,,,,
3712,2022-01-27,4,MLB7543219380,0,,0,,0,,1,2022-01-30,2022-01-27,,,3,
781,2022-01-19,3,MLB7544295450,0,,1,2022-01-29,1,2022-01-24,1,2022-01-20,2022-01-19,10,5,1,
7013,2022-01-15,2,MLB7544311270,0,,0,,1,2022-01-15,0,,2022-01-15,,0,,
3371,2022-01-06,1,MLB7545703720,0,,1,2022-01-15,1,2022-01-06,1,2022-01-15,2022-01-06,9,0,9,
8094,2022-01-05,1,MLB7545940190,0,,1,2022-01-05,0,,1,2022-01-07,2022-01-05,0,,2,
4263,2022-01-03,1,MLB7545954270,0,,0,,0,,0,,2022-01-03,,,,
6280,2022-01-30,4,MLB7546116130,0,,0,,1,2022-02-03,1,2022-02-01,2022-01-30,,4,2,
6,2022-01-01,1,MLB7546352300,0,,0,,1,2022-01-01,1,2022-01-03,2022-01-01,,0,2,
821,2022-01-17,3,MLB7549673300,0,,1,2022-02-09,1,2022-01-19,1,2022-01-19,2022-01-17,23,2,2,
9187,2022-01-23,3,MLB7550013900,0,,0,,0,,1,2022-01-25,2022-01-23,,,2,
9603,2022-01-04,1,MLB75522220,0,,0,,0,,1,2022-01-05,2022-01-04,,,1,
312,2022-01-04,1,MLB7552607510,0,,0,,1,2022-01-04,1,2022-01-05,2022-01-04,,0,1,
3760,2022-01-04,1,MLB7552803310,0,,1,2022-01-04,1,2022-01-04,1,2022-01-07,2022-01-04,0,0,3,
520,2022-01-20,3,MLB7556186180,0,,0,,0,,1,2022-01-21,2022-01-20,,,1,
9270,2022-01-10,2,MLB7558482750,0,,1,2022-01-11,1,2022-01-12,1,2022-01-11,2022-01-10,1,2,1,
4796,2022-01-08,1,MLB7558541140,0,,0,,0,,0,,2022-01-08,,,,
5228,2022-01-29,4,MLB7558656150,0,,0,,0,,1,2022-01-30,2022-01-29,,,1,
177,2022-01-12,2,MLB7558847480,0,,0,,0,,1,2022-01-13,2022-01-12,,,1,
1312,2022-01-06,1,MLB7559812260,0,,1,2022-01-24,1,2022-01-07,1,2022-01-07,2022-01-06,18,1,1,
1222,2022-01-21,3,MLB7561636860,1,2022-02-01,1,2022-01-21,0,,1,2022-01-22,2022-01-21,0,,1,11
7615,2022-01-17,3,MLB7563275470,0,,1,2022-01-18,0,,1,2022-01-18,2022-01-17,1,,1,
9807,2022-01-31,5,MLB7563638090,0,,0,,0,,1,2022-02-14,2022-01-31,,,14,
6802,2022-01-27,4,MLB7564005780,0,,0,,0,,1,2022-01-30,2022-01-27,,,3,
8770,2022-01-24,4,MLB7565830510,0,,1,2022-02-02,1,2022-02-02,1,2022-01-29,2022-01-24,9,9,5,
225,2022-01-26,4,MLB7566031370,0,,1,2022-01-28,1,2022-01-28,1,2022-01-28,2022-01-26,2,2,2,
